 MDM      Mh1     Mh2      Mhc      ld345        ld         Omega       protonSI     Br(H->h1h1)    Br(H->h2h2)   Br(H->h-h+)     Width_H      HB     HS      R      v_stab     LEP    S        T   
10.00   10.00   201.00   201.00   1.000E-03   1.000E+00   6.431E+03    4.011E-11     1.082E-03      0.000E+00     0.000E+00     4.259E-03      1      1    0.002      1        1    -0.022    0.000 
11.00   11.00   201.00   201.00   1.000E-03   1.000E+00   6.211E+03    3.322E-11     1.079E-03      0.000E+00     0.000E+00     4.259E-03      1      1    0.002      1        1    -0.022    0.000 
12.00   12.00   201.00   201.00   1.000E-03   1.000E+00   6.052E+03    2.796E-11     1.075E-03      0.000E+00     0.000E+00     4.259E-03      1      1    0.002      1        1    -0.022    0.000 
13.00   13.00   201.00   201.00   1.000E-03   1.000E+00   5.930E+03    2.384E-11     1.072E-03      0.000E+00     0.000E+00     4.259E-03      1      1    0.002      1        1    -0.022    0.000 
14.00   14.00   201.00   201.00   1.000E-03   1.000E+00   5.828E+03    2.056E-11     1.068E-03      0.000E+00     0.000E+00     4.259E-03      1      1    0.002      1        1    -0.022    0.000 
15.00   15.00   201.00   201.00   1.000E-03   1.000E+00   5.737E+03    1.790E-11     1.064E-03      0.000E+00     0.000E+00     4.259E-03      1      1    0.002      1        1    -0.022    0.000 
16.00   16.00   201.00   201.00   1.000E-03   1.000E+00   5.652E+03    1.573E-11     1.059E-03      0.000E+00     0.000E+00     4.259E-03      1      1    0.002      1        1    -0.022    0.000 
17.00   17.00   201.00   201.00   1.000E-03   1.000E+00   5.568E+03    1.392E-11     1.054E-03      0.000E+00     0.000E+00     4.259E-03      1      1    0.002      1        1    -0.022    0.000 
18.00   18.00   201.00   201.00   1.000E-03   1.000E+00   5.484E+03    1.240E-11     1.049E-03      0.000E+00     0.000E+00     4.259E-03      1      1    0.002      1        1    -0.022    0.000 
19.00   19.00   201.00   201.00   1.000E-03   1.000E+00   5.397E+03    1.112E-11     1.044E-03      0.000E+00     0.000E+00     4.259E-03      1      1    0.002      1        1    -0.022    0.000 
20.00   20.00   201.00   201.00   1.000E-03   1.000E+00   5.307E+03    1.003E-11     1.038E-03      0.000E+00     0.000E+00     4.259E-03      1      1    0.002      1        1    -0.022    0.000 
21.00   21.00   201.00   201.00   1.000E-03   1.000E+00   5.212E+03    9.083E-12     1.032E-03      0.000E+00     0.000E+00     4.259E-03      1      1    0.002      1        1    -0.022    0.000 
22.00   22.00   201.00   201.00   1.000E-03   1.000E+00   5.113E+03    8.265E-12     1.026E-03      0.000E+00     0.000E+00     4.259E-03      1      1    0.002      1        1    -0.022    0.000 
23.00   23.00   201.00   201.00   1.000E-03   1.000E+00   5.010E+03    7.552E-12     1.019E-03      0.000E+00     0.000E+00     4.259E-03      1      1    0.002      1        1    -0.021    0.000 
24.00   24.00   201.00   201.00   1.000E-03   1.000E+00   4.899E+03    6.927E-12     1.012E-03      0.000E+00     0.000E+00     4.259E-03      1      1    0.002      1        1    -0.021    0.000 
25.00   25.00   201.00   201.00   1.000E-03   1.000E+00   4.783E+03    6.375E-12     1.004E-03      0.000E+00     0.000E+00     4.259E-03      1      1    0.002      1        1    -0.021    0.000 
26.00   26.00   201.00   201.00   1.000E-03   1.000E+00   4.660E+03    5.886E-12     9.965E-04      0.000E+00     0.000E+00     4.259E-03      1      1    0.002      1        1    -0.021    0.000 
27.00   27.00   201.00   201.00   1.000E-03   1.000E+00   4.533E+03    5.451E-12     9.883E-04      0.000E+00     0.000E+00     4.259E-03      1      1    0.002      1        1    -0.021    0.000 
28.00   28.00   201.00   201.00   1.000E-03   1.000E+00   4.399E+03    5.062E-12     9.797E-04      0.000E+00     0.000E+00     4.259E-03      1      1    0.002      1        1    -0.021    0.000 
29.00   29.00   201.00   201.00   1.000E-03   1.000E+00   4.256E+03    4.712E-12     9.707E-04      0.000E+00     0.000E+00     4.259E-03      1      1    0.002      1        1    -0.021    0.000 
30.00   30.00   201.00   201.00   1.000E-03   1.000E+00   4.070E+03    4.398E-12     9.614E-04      0.000E+00     0.000E+00     4.259E-03      1      1    0.002      1        1    -0.021    0.000 
31.00   31.00   201.00   201.00   1.000E-03   1.000E+00   3.679E+03    4.113E-12     9.516E-04      0.000E+00     0.000E+00     4.259E-03      1      1    0.002      1        1    -0.021    0.000 
32.00   32.00   201.00   201.00   1.000E-03   1.000E+00   3.365E+03    3.855E-12     9.414E-04      0.000E+00     0.000E+00     4.259E-03      1      1    0.002      1        1    -0.021    0.000 
33.00   33.00   201.00   201.00   1.000E-03   1.000E+00   2.911E+03    3.620E-12     9.307E-04      0.000E+00     0.000E+00     4.259E-03      1      1    0.002      1        1    -0.021    0.000 
